frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball,label
0,932.0,34.0,899.0,875.0,886.0,876.0,kick
1,933.0,33.0,898.0,886.0,893.0,876.0,kick
2,934.0,33.0,897.0,888.0,901.0,860.0,kick
3,936.0,33.0,900.0,867.0,908.0,805.0,stand
4,938.0,33.0,887.0,901.0,889.0,910.0,kick
5,938.0,33.0,873.0,928.0,924.0,707.0,stand
6,938.0,33.0,875.0,945.0,932.0,678.0,stand
7,936.0,34.0,868.0,946.0,940.0,657.0,stand
8,936.0,41.0,871.0,947.0,946.0,657.0,stand
9,936.0,52.0,873.0,949.0,955.0,657.0,stand
10,938.0,56.0,874.0,954.0,962.0,672.0,stand
11,938.0,61.0,875.0,956.0,971.0,704.0,stand
12,939.0,61.0,875.0,915.0,982.0,745.0,stand
13,940.0,63.0,874.0,919.0,972.0,732.0,stand
14,944.0,61.0,879.0,947.0,981.0,683.0,stand
15,949.0,61.0,881.0,955.0,980.0,641.0,stand
16,951.0,60.0,884.0,958.0,977.0,612.0,stand
18,955.0,73.0,892.0,963.0,972.0,588.0,stand
21,954.0,90.0,903.0,957.0,966.0,633.0,stand
22,951.0,97.0,937.0,831.0,965.0,676.0,stand
23,950.0,96.0,959.0,808.0,962.0,750.0,stand
24,949.0,93.0,952.0,776.0,966.0,821.0,kick
25,946.0,90.0,954.0,741.0,967.0,697.0,kick
26,947.0,75.0,948.0,753.0,981.0,654.0,stand
27,947.0,70.0,947.0,931.0,983.0,629.0,stand
28,947.0,71.0,916.0,981.0,916.0,948.0,kick
29,947.0,81.0,908.0,995.0,997.0,609.0,stand
30,947.0,104.0,904.0,1002.0,1003.0,617.0,stand
34,958.0,137.0,913.0,1006.0,1029.0,770.0,stand
35,972.0,138.0,911.0,1001.0,1035.0,813.0,stand
36,981.0,135.0,910.0,1009.0,1034.0,772.0,stand
37,989.0,135.0,912.0,1012.0,1033.0,730.0,stand
38,987.0,136.0,911.0,1025.0,1038.0,704.0,stand
39,991.0,136.0,911.0,1031.0,1041.0,690.0,stand
40,992.0,141.0,917.0,1038.0,1043.0,688.0,stand
41,994.0,146.0,927.0,1042.0,1047.0,697.0,stand
42,1002.0,163.0,976.0,1037.0,1052.0,723.0,stand
44,1026.0,184.0,1042.0,874.0,1064.0,800.0,stand
47,1035.0,220.0,890.0,791.0,1068.0,638.0,stand
48,1030.0,219.0,962.0,855.0,1066.0,592.0,stand
49,1023.0,232.0,934.0,1014.0,1067.0,557.0,stand
50,1027.0,189.0,998.0,1025.0,1068.0,534.0,stand
51,1026.0,191.0,992.0,280.0,1064.0,524.0,stand
52,1017.0,184.0,1093.0,307.0,1064.0,525.0,stand
53,1005.0,170.0,1239.0,442.0,1067.0,540.0,stand
54,997.0,168.0,1172.0,466.0,1069.0,572.0,stand
55,990.0,171.0,1131.0,537.0,1076.0,605.0,stand
56,992.0,183.0,1088.0,806.0,1079.0,656.0,stand
57,985.0,198.0,1062.0,949.0,1087.0,717.0,stand
58,976.0,205.0,1073.0,966.0,1095.0,794.0,stand
59,970.0,204.0,1117.0,900.0,1107.0,875.0,kick
60,962.0,204.0,1102.0,986.0,1105.0,856.0,stand
61,955.0,198.0,1094.0,1001.0,1094.0,806.0,stand
63,943.0,202.0,948.0,1072.0,1083.0,718.0,stand
64,933.0,220.0,938.0,1110.0,1077.0,691.0,stand
65,936.0,232.0,959.0,1142.0,1071.0,682.0,stand
66,937.0,235.0,915.0,1110.0,1068.0,684.0,stand
67,954.0,230.0,909.0,1154.0,1065.0,697.0,stand
68,967.0,222.0,888.0,1127.0,1060.0,716.0,stand
70,971.0,208.0,785.0,1092.0,1053.0,802.0,stand
71,965.0,208.0,810.0,1100.0,1055.0,864.0,stand
72,961.0,208.0,844.0,1136.0,1055.0,948.0,stand
73,960.0,208.0,822.0,1126.0,1057.0,992.0,stand
74,961.0,198.0,805.0,1116.0,1049.0,901.0,stand
102,874.0,110.0,738.0,1107.0,717.0,44.0,stand
103,862.0,135.0,702.0,1091.0,709.0,74.0,stand
104,858.0,158.0,651.0,1085.0,702.0,123.0,stand
105,856.0,179.0,602.0,1081.0,696.0,199.0,stand
106,853.0,197.0,601.0,1079.0,693.0,284.0,stand
107,855.0,213.0,603.0,1080.0,687.0,383.0,stand
108,856.0,228.0,615.0,1079.0,682.0,493.0,stand
109,856.0,233.0,629.0,1080.0,677.0,618.0,stand
110,859.0,235.0,612.0,1065.0,668.0,750.0,stand
111,861.0,233.0,631.0,1024.0,661.0,901.0,stand
112,860.0,237.0,663.0,1029.0,679.0,877.0,stand
113,860.0,232.0,715.0,1062.0,703.0,815.0,stand
114,859.0,230.0,706.0,1060.0,721.0,763.0,stand
115,860.0,227.0,799.0,1067.0,740.0,725.0,stand
116,861.0,226.0,883.0,1143.0,761.0,699.0,stand
117,864.0,225.0,924.0,1139.0,781.0,680.0,stand
118,870.0,224.0,920.0,1081.0,804.0,678.0,stand
119,884.0,228.0,923.0,1055.0,825.0,685.0,stand
120,894.0,242.0,916.0,1010.0,852.0,704.0,stand
121,914.0,247.0,940.0,1028.0,871.0,735.0,stand
122,915.0,255.0,942.0,1032.0,894.0,777.0,stand
123,926.0,255.0,926.0,989.0,915.0,841.0,stand
124,932.0,258.0,927.0,1008.0,941.0,929.0,stand
126,945.0,254.0,980.0,1083.0,943.0,751.0,stand
131,984.0,228.0,1042.0,1092.0,969.0,631.0,stand
132,987.0,229.0,1024.0,1087.0,981.0,635.0,stand
133,997.0,229.0,1017.0,1084.0,987.0,659.0,stand
135,1008.0,236.0,1030.0,1062.0,1007.0,733.0,stand
136,1010.0,241.0,1047.0,1052.0,1014.0,798.0,stand
137,1003.0,241.0,1043.0,879.0,1026.0,861.0,kick
138,1000.0,238.0,1077.0,962.0,1030.0,892.0,stand
139,994.0,225.0,1060.0,936.0,1028.0,834.0,stand
140,971.0,208.0,1052.0,968.0,1023.0,758.0,stand
143,945.0,203.0,1048.0,1063.0,1031.0,659.0,stand
144,949.0,188.0,1048.0,1062.0,1032.0,648.0,stand
147,922.0,200.0,1022.0,1073.0,1040.0,676.0,stand
148,903.0,190.0,1009.0,1073.0,1045.0,704.0,stand
166,821.0,101.0,1190.0,934.0,1120.0,905.0,stand
167,816.0,85.0,1225.0,909.0,1113.0,899.0,stand
168,813.0,72.0,1160.0,933.0,1081.0,902.0,stand
173,807.0,2.0,894.0,1011.0,1057.0,792.0,stand
174,808.0,-25.0,1099.0,697.0,1075.0,710.0,kick
175,809.0,-35.0,1185.0,561.0,1084.0,638.0,stand
176,811.0,-28.0,1191.0,569.0,1097.0,584.0,stand
177,831.0,-34.0,1083.0,651.0,1104.0,540.0,stand
178,832.0,-24.0,1066.0,691.0,1116.0,512.0,stand
179,831.0,-30.0,961.0,765.0,1131.0,502.0,stand
180,828.0,-33.0,1084.0,800.0,1139.0,499.0,stand
181,839.0,-11.0,998.0,914.0,1150.0,511.0,stand
182,838.0,-3.0,1132.0,872.0,1144.0,785.0,stand
183,816.0,21.0,1148.0,864.0,1174.0,563.0,stand
184,813.0,47.0,1154.0,859.0,1137.0,797.0,stand
185,813.0,85.0,1168.0,860.0,1197.0,664.0,stand
186,814.0,98.0,1180.0,856.0,1150.0,825.0,kick
187,821.0,121.0,1165.0,879.0,1149.0,853.0,kick
188,837.0,112.0,1157.0,907.0,1194.0,763.0,stand
189,852.0,113.0,1154.0,908.0,1188.0,786.0,stand
190,864.0,109.0,1154.0,819.0,1186.0,664.0,stand
191,884.0,102.0,1123.0,726.0,1137.0,680.0,kick
192,888.0,102.0,1115.0,647.0,1100.0,597.0,stand
193,889.0,94.0,1043.0,655.0,1059.0,600.0,stand
194,888.0,52.0,1026.0,716.0,1139.0,312.0,stand
195,885.0,33.0,947.0,764.0,1076.0,237.0,stand
196,877.0,15.0,816.0,878.0,1052.0,183.0,stand
197,873.0,-3.0,789.0,958.0,1034.0,145.0,stand
198,872.0,7.0,807.0,961.0,1015.0,108.0,stand
199,877.0,16.0,785.0,959.0,998.0,81.0,stand
200,878.0,19.0,787.0,959.0,974.0,71.0,stand
201,877.0,22.0,793.0,959.0,965.0,70.0,stand
202,882.0,23.0,790.0,967.0,951.0,71.0,stand
203,892.0,50.0,796.0,964.0,931.0,76.0,stand
204,890.0,96.0,799.0,959.0,912.0,91.0,stand
205,886.0,136.0,796.0,956.0,894.0,128.0,stand
213,871.0,63.0,814.0,712.0,725.0,466.0,stand
214,876.0,60.0,802.0,884.0,708.0,433.0,stand
215,878.0,59.0,797.0,902.0,704.0,410.0,stand
216,880.0,55.0,798.0,930.0,694.0,395.0,stand
217,880.0,48.0,798.0,943.0,681.0,392.0,stand
218,880.0,44.0,799.0,938.0,667.0,406.0,stand
219,876.0,46.0,797.0,928.0,792.0,884.0,kick
220,866.0,54.0,756.0,925.0,640.0,459.0,stand
221,864.0,62.0,674.0,886.0,627.0,502.0,stand
222,862.0,78.0,605.0,845.0,614.0,560.0,stand
223,862.0,75.0,552.0,794.0,602.0,625.0,stand
224,862.0,67.0,541.0,682.0,593.0,650.0,stand
225,860.0,58.0,510.0,703.0,618.0,591.0,stand
226,856.0,46.0,536.0,727.0,641.0,528.0,stand
227,851.0,37.0,575.0,759.0,662.0,481.0,stand
228,848.0,36.0,639.0,797.0,685.0,445.0,stand
229,845.0,35.0,738.0,880.0,780.0,870.0,kick
230,846.0,37.0,803.0,917.0,727.0,408.0,stand
231,846.0,38.0,815.0,919.0,746.0,404.0,stand
232,846.0,38.0,814.0,917.0,763.0,411.0,stand
233,848.0,39.0,800.0,916.0,782.0,446.0,stand
234,848.0,40.0,808.0,907.0,803.0,464.0,stand
241,899.0,-26.0,809.0,904.0,810.0,879.0,kick
242,908.0,-27.0,806.0,908.0,912.0,454.0,stand
243,920.0,-20.0,805.0,908.0,918.0,442.0,stand
244,925.0,-20.0,805.0,908.0,925.0,440.0,stand
245,932.0,-17.0,803.0,908.0,823.0,867.0,kick
246,933.0,-12.0,826.0,904.0,843.0,856.0,stand
250,947.0,27.0,929.0,843.0,961.0,691.0,stand
251,946.0,24.0,956.0,745.0,966.0,689.0,stand
252,947.0,-4.0,946.0,737.0,961.0,627.0,stand
253,956.0,-10.0,922.0,829.0,958.0,578.0,stand
254,961.0,-14.0,913.0,858.0,954.0,543.0,stand
255,958.0,-27.0,896.0,890.0,950.0,517.0,stand
256,942.0,-62.0,860.0,906.0,944.0,500.0,stand
257,938.0,-65.0,851.0,913.0,943.0,498.0,stand
258,938.0,-83.0,845.0,918.0,939.0,505.0,stand
259,929.0,-70.0,842.0,912.0,844.0,876.0,kick
260,921.0,-65.0,836.0,913.0,933.0,545.0,stand
262,917.0,-57.0,830.0,907.0,923.0,666.0,stand
265,898.0,-92.0,821.0,904.0,939.0,534.0,stand
266,910.0,-102.0,820.0,903.0,957.0,818.0,stand
267,917.0,-117.0,819.0,906.0,958.0,486.0,stand
268,936.0,-106.0,825.0,905.0,970.0,475.0,stand
269,934.0,-117.0,826.0,904.0,840.0,869.0,kick
270,955.0,-97.0,826.0,904.0,1048.0,860.0,stand
271,950.0,-95.0,827.0,904.0,1066.0,855.0,stand
272,951.0,-82.0,822.0,904.0,1085.0,852.0,stand
273,958.0,-68.0,840.0,903.0,1103.0,854.0,stand
274,992.0,-58.0,861.0,901.0,1121.0,861.0,stand
275,1007.0,-60.0,913.0,876.0,1135.0,868.0,stand
276,1011.0,-66.0,899.0,880.0,1079.0,831.0,stand
277,1023.0,-72.0,871.0,881.0,857.0,868.0,kick
278,1026.0,-82.0,851.0,890.0,1143.0,879.0,stand
279,1041.0,-82.0,843.0,897.0,850.0,860.0,kick
280,1053.0,-83.0,848.0,897.0,1145.0,882.0,stand
281,1083.0,-86.0,866.0,873.0,1109.0,632.0,stand
282,1106.0,-48.0,879.0,823.0,1117.0,631.0,stand
284,1110.0,623.0,958.0,388.0,1134.0,665.0,stand
285,1053.0,507.0,1030.0,689.0,1142.0,703.0,stand
286,1042.0,420.0,1007.0,732.0,1153.0,752.0,stand
288,1010.0,202.0,1043.0,616.0,1164.0,809.0,stand
290,1035.0,210.0,1172.0,660.0,1187.0,828.0,stand
291,1030.0,161.0,1218.0,637.0,1203.0,837.0,stand
292,1029.0,172.0,1244.0,632.0,1221.0,833.0,stand
298,1078.0,130.0,1173.0,673.0,1184.0,838.0,stand
299,1116.0,141.0,1162.0,709.0,1183.0,840.0,stand
301,1092.0,239.0,1145.0,699.0,1181.0,840.0,stand
302,1079.0,239.0,1143.0,704.0,1181.0,837.0,stand
303,1067.0,247.0,1138.0,707.0,1182.0,835.0,stand
304,1072.0,269.0,1135.0,722.0,1183.0,836.0,stand
305,1075.0,269.0,1131.0,720.0,1180.0,837.0,stand
306,1115.0,291.0,1118.0,723.0,1177.0,837.0,stand
307,1072.0,249.0,1118.0,746.0,1174.0,836.0,stand
308,1027.0,213.0,1120.0,740.0,1166.0,835.0,stand
309,1036.0,236.0,1115.0,735.0,1157.0,830.0,stand
